data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 22:40,Kawalerka/Kępa Miesczańska/Gotowe do zamieszkania,1900,https://www.otodom.pl/pl/oferta/kawalerka-kepa-miesczanska-gotowe-do-zamieszkania-ID4zXjo,NIE,500,0,1,"ul. Romana Dmowskiego, Wrocław",2020,brak,0,do zamieszkania,19,2026-02-10
2026-02-07 22:41,Stabłowice /ul. Kokosowa /dobry standard,2400,https://www.otodom.pl/pl/oferta/stablowice-ul-kokosowa-dobry-standard-ID4zOh8,NIE,550,3,2,Wrocław,2013,miejskie,2400,do zamieszkania,42,2026-02-10
2026-02-07 22:41,Głogowska/Rozkład/Media Miejskie/1 wynajem,2600,https://www.otodom.pl/pl/oferta/glogowska-rozklad-media-miejskie-1-wynajem-ID4zXig,NIE,0,6,2,"ul. Głogowska, Wrocław",1985,miejskie,0,brak,40,2026-02-10
2026-02-07 22:41,Nowoczesne ciepłe 1-pokojowe mieszkanie z balkonem 30m ul. Wełniana,2100,https://www.otodom.pl/pl/oferta/nowoczesne-cieple-1-pokojowe-mieszkanie-z-balkonem-30m-ul-welniana-ID4zXgE,NIE,500,1,1,"ul. Wełniana, Wrocław",2020,gazowe,2100,do zamieszkania,30,2026-02-10
2026-02-07 22:41,Wysoki standard |2 Pokoje | pierwszy najem od właściciela Jagodno 42m,3300,https://www.otodom.pl/pl/oferta/wysoki-standard-2-pokoje-pierwszy-najem-od-wlasciciela-jagodno-42m-ID4zXgg,NIE,625,2,2,Wrocław,2021,miejskie,4000,do zamieszkania,42,2026-02-10
2026-02-07 22:41,Przyjemne mieszkanie Partynice/Wrocław-Wysoka z tarasem i ogródkiem,2900,https://www.otodom.pl/pl/oferta/przyjemne-mieszkanie-partynice-wroclaw-wysoka-z-tarasem-i-ogrodkiem-ID4kytI,NIE,900,0,2,Wysoka,2008,miejskie,3800,do zamieszkania,46,2026-02-10
2026-02-07 22:41,Nowoczesne 3-pokojowe mieszkanie z balkonem,3200,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-z-balkonem-ID44vhM,NIE,1000,1,3,"ul. Siostrzana, Wrocław",2011,miejskie,4000,do zamieszkania,55,2026-02-10
2026-02-07 22:42,Apartament|4 pokoje|taras|Port Popowice,6300,https://www.otodom.pl/pl/oferta/apartament-4-pokoje-taras-port-popowice-ID4zXf9,NIE,873,3,4,"ul. Białowieska, Wrocław",2021,miejskie,8500,do zamieszkania,83,2026-02-10
2026-02-07 22:42,Wynajmę dwupoziomowe mieszkanie na Krzykach,4200,https://www.otodom.pl/pl/oferta/wynajme-dwupoziomowe-mieszkanie-na-krzykach-ID4zXdc,NIE,1015,3,3,Wrocław,2016,miejskie,4200,do zamieszkania,75,2026-02-10
2026-02-07 22:42,"Nowoczesne mieszkanie Park Wschodni taras,Rybnicka",2500,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-park-wschodni-taras-rybnicka-ID4zXdn,NIE,0,0,2,"ul. Rybnicka, Wrocław",2019,brak,0,brak,39,2026-02-10
