data_pobrania,tytul,cena,link,metraz,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 23:51,4 pokoje | Pełen Rozkład | ul. Oleska | Zakrzów,3000,https://www.otodom.pl/pl/oferta/4-pokoje-pelen-rozklad-ul-oleska-zakrzow-ID4jnF8,,1200,5,4,Wrocław,brak,miejskie,4200,do zamieszkania,72.2,2026-02-10
2026-02-07 23:51,Apartament | 4pokoje | 112m2 | Oporów | Południe,6000,https://www.otodom.pl/pl/oferta/apartament-4pokoje-112m2-oporow-poludnie-ID4cLgE,,2350,1,4,"ul. Wiejska, Wrocław",2010,miejskie,10000,do zamieszkania,112,2026-02-10
2026-02-07 23:51,✨Loggia✨Pierwsze piętro✨3 pokoje✨,2800,https://www.otodom.pl/pl/oferta/loggiapierwsze-pietro3-pokoje-ID4zU9j,,1000,1,3,Wrocław,brak,miejskie,4000,do zamieszkania,55.58,2026-02-10
2026-02-07 23:51,"2 pokoje 42m2, osobna garderoba, pralko-suszarka, Jagodno",2600,https://www.otodom.pl/pl/oferta/2-pokoje-42m2-osobna-garderoba-pralko-suszarka-jagodno-ID4ngSM,,650,3,2,Wrocław,2023,miejskie,3500,do zamieszkania,42,2026-02-10
2026-02-07 23:51,BAJANA Gądów - 3 pokoje | balkon | PET FRIENDLY,3000,https://www.otodom.pl/pl/oferta/bajana-gadow-3-pokoje-balkon-pet-friendly-ID4zJaz,,1200,0,3,"ul. Jerzego Bajana, Wrocław",brak,miejskie,4500,do zamieszkania,64,2026-02-10
2026-02-07 23:51,2 pokoje z panoramicznym widokiem | balkon | Promenady Wrocławskie,3170,https://www.otodom.pl/pl/oferta/2-pokoje-z-panoramicznym-widokiem-balkon-promenady-wroclawskie-ID4zU5B,,630,9,2,"ul. Antoniego Słonimskiego, Wrocław",2021,miejskie,8000,do zamieszkania,42,2026-02-10
2026-02-07 23:52,Apartament na Krzykach z tarasem | 95 mkw | Wysokie pomieszczenia,4700,https://www.otodom.pl/pl/oferta/apartament-na-krzykach-z-tarasem-95-mkw-wysokie-pomieszczenia-ID4zTZm,,0,1,3,"ul. Motylkowa, Wrocław",2009,miejskie,brak,do zamieszkania,95,2026-02-10
2026-02-07 23:52,3-pokojowe mieszkanie ul. Orawska- pierwszy najem,2999,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-ul-orawska-pierwszy-najem-ID4z2Sb,,800,2,3,"ul. Orawska, Wrocław",2025,miejskie,brak,do zamieszkania,48.34,2026-02-10
2026-02-07 23:52,"Krzyki 3 pokoje, balkon, parking / Atut / pets friendly",3990,https://www.otodom.pl/pl/oferta/krzyki-3-pokoje-balkon-parking-atut-pets-friendly-ID4zQ90,,0,2,3,"ul. Racławicka, Wrocław",brak,miejskie,0,do zamieszkania,65,2026-02-10
2026-02-07 23:52,Dwupokojowe mieszkanie z dużym ogródkiem,2300,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-duzym-ogrodkiem-ID4zU5g,,800,0,2,"Stanisława Drabika, Wrocław",brak,miejskie,brak,do zamieszkania,43.28,2026-02-10
2026-02-07 23:53,Ulica Magellana ! Pełen Rozkład ! Super Wyposażone Umeblowane Okazja !,2800,https://www.otodom.pl/pl/oferta/ulica-magellana-pelen-rozklad-super-wyposazone-umeblowane-okazja-ID4zTVT,,0,2,2,"ul. Ferdynanda Magellana, Wrocław",brak,miejskie,brak,do zamieszkania,46,2026-02-10
2026-02-07 23:53,"Duże, komfortowe 66 m² | Stare Miasto | Os. Solo 11 | Balkon | Garaż",4500,https://www.otodom.pl/pl/oferta/duze-komfortowe-66-m-stare-miasto-os-solo-11-balkon-garaz-ID4zOEm,,750,1,3,"ul. Ziemowita, Wrocław",2013,miejskie,5000,do zamieszkania,66,2026-02-10
2026-02-07 23:53,Apartament 2 pokoje 14 piętro klimatyzacja Odra Tower Centrum,2800,https://www.otodom.pl/pl/oferta/apartament-2-pokoje-14-pietro-klimatyzacja-odra-tower-centrum-ID3YRPV,,800,10,2,Wrocław,brak,miejskie,3600,do zamieszkania,40,2026-02-10
2026-02-07 23:53,"Przytulna, dobrze wyposażona mikrokawalerka w centrum/Pl. Grunwaldzki.",1700,https://www.otodom.pl/pl/oferta/przytulna-dobrze-wyposazona-mikrokawalerka-w-centrum-pl-grunwaldzki-ID4zTY2,,500,2,1,"wyb. Ludwika Pasteura, Wrocław",2000,brak,2000,do zamieszkania,12,2026-02-10
2026-02-07 23:53,PREMIUM | Pierwszy najem | Kępa Mieszczańska | Wellness & Garaż,4100,https://www.otodom.pl/pl/oferta/premium-pierwszy-najem-kepa-mieszczanska-wellness-garaz-ID4zTXN,,720,4,2,"ul. Mieszczańska, Wrocław",2024,miejskie,brak,do zamieszkania,39,2026-02-10
2026-02-07 23:53,PL/RU/ENG Dwupokojowe|Klima|Parking i siłownia w cenie!,3399,https://www.otodom.pl/pl/oferta/pl-ru-eng-dwupokojowe-klima-parking-i-silownia-w-cenie-ID4zTYb,,770,9,2,"ul. Braniborska, Wrocław",2024,brak,4000,brak,42,2026-02-10
