data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-14 09:06,"2 Pokoje, Pierwszy Najem, Bez Prowizji, Dostępne od Zaraz",3000,https://www.otodom.pl/pl/oferta/2-pokoje-pierwszy-najem-bez-prowizji-dostepne-od-zaraz-ID4zGpv,NIE,600,1,2,"ul. Łubinowa, Wrocław",2008,miejskie,3600,brak,50,2026-02-14
2026-02-14 09:07,"Kawalerka Śródmieście, 40m2, w okolicach terenów zielonych",2300,https://www.otodom.pl/pl/oferta/kawalerka-srodmiescie-40m2-w-okolicach-terenow-zielonych-ID4yafl,NIE,650,2,1,"ul. Czerwonego Krzyża, Wrocław",brak,miejskie,5000,brak,40,2026-02-14
2026-02-14 09:09,PL/UA Dwupokojowy Apartament w Centrum | Pets Friendly | Klima | Garaż,3599,https://www.otodom.pl/pl/oferta/pl-ua-dwupokojowy-apartament-w-centrum-pets-friendly-klima-garaz-ID4A6UJ,NIE,1051,2,2,"ul. Krawiecka, Wrocław",brak,miejskie,5000,brak,56,2026-02-14
2026-02-14 09:17,Szczepińska | Odświeżone | Pierwszy najem,2800,https://www.otodom.pl/pl/oferta/szczepinska-odswiezone-pierwszy-najem-ID4A6O5,NIE,670,2,2,"ul. Szczepińska, Wrocław",1980,miejskie,0,brak,46,2026-02-14
2026-02-14 09:24,2 pokoje | 2 stawy oraz Park! | Stabłowice,2300,https://www.otodom.pl/pl/oferta/2-pokoje-2-stawy-oraz-park-stablowice-ID4A6FX,NIE,780,2,2,"ul. Franciszka Juszczaka, Wrocław",brak,brak,0,brak,56.5,2026-02-14
2026-02-14 09:26,"Do wynajęcia ładne, 2 pokojowe w ok. Grabiszyńskie",2400,https://www.otodom.pl/pl/oferta/do-wynajecia-ladne-2-pokojowe-w-ok-grabiszynskie-ID4A6DC,NIE,0,4,2,"Ok. Grabiszyńskiej, Wrocław",1978,miejskie,brak,brak,40,2026-02-14
2026-02-14 09:28,"Mieszkanie, 37 m², Wrocław",2450,https://www.otodom.pl/pl/oferta/mieszkanie-37-m-wroclaw-ID4A6CH,NIE,0,0,2,Wrocław,1930,gazowe,brak,brak,37,2026-02-14
2026-02-14 09:29,Wrocław | 2 pokoje | Osobna kuchnia | Balkon,2200,https://www.otodom.pl/pl/oferta/wroclaw-2-pokoje-osobna-kuchnia-balkon-ID4A6yK,NIE,960,5,2,"ul. Świeradowska, Wrocław",brak,miejskie,2200,brak,50.1,2026-02-14
2026-02-08 01:56,Zadbane 2 pokojowe mieszkanie - Planty Racławickie,2600,https://www.otodom.pl/pl/oferta/zadbane-2-pokojowe-mieszkanie-planty-raclawickie-ID4zf0e,NIE,970,2,2,"Wichrowa, Wrocław",2021,miejskie,brak,brak,40.6,2026-02-14
2026-02-08 01:57,komfortowe 3-pokoje | w pobliżu dworca PKP - ul. Prądzyńskiego,3600,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-w-poblizu-dworca-pkp-ul-pradzynskiego-ID4xseC,TAK,750,3,3,"ul. gen. Ignacego Prądzyńskiego, Wrocław",2016,miejskie,4500,brak,58.14,2026-02-14
2026-02-08 01:59,"36 m2, Dwa pokoje z balkonem, osobna kuchnia, IIp., winda, piwnica.",2600,https://www.otodom.pl/pl/oferta/36-m2-dwa-pokoje-z-balkonem-osobna-kuchnia-iip-winda-piwnica-ID4zJ74,NIE,800,2,2,"ul. Kozanowska, Wrocław",brak,miejskie,4000,brak,36,2026-02-14
2026-02-08 01:59,"Mieszkanie, 48 m², Wrocław",2500,https://www.otodom.pl/pl/oferta/mieszkanie-48-m-wroclaw-ID4zJ2J,NIE,0,0,2,Wrocław,1970,brak,brak,brak,48,2026-02-14
2026-02-08 02:00,"BEZPOŚREDNIO - 4 pokoje, 84 m2 , ul.Bajana, okolice Magnolia Park",3700,https://www.otodom.pl/pl/oferta/bezposrednio-4-pokoje-84-m2-ul-bajana-okolice-magnolia-park-ID4zIU4,NIE,1280,3,4,"ul. Jerzego Bajana, Wrocław",1996,miejskie,5000,brak,84,2026-02-14
2026-02-08 02:00,Wygodne mieszkanie na Gaju,2290,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-gaju-ID4zIPX,NIE,407,10,1,"ul. Krynicka, Wrocław",1978,miejskie,3000,brak,28,2026-02-14
2026-02-08 02:01,Do wynajęcia mieszkanie na zamkniętym osiedlu!,3000,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-na-zamknietym-osiedlu-ID4xXjS,NIE,600,0,2,Wrocław,2023,miejskie,5000,brak,46,2026-02-14
2026-02-08 02:03,UA | ENG | PL | Комиссия 0% | Bez Prowizji,3500,https://www.otodom.pl/pl/oferta/ua-eng-pl-0-bez-prowizji-ID4zIHv,TAK,700,1,3,"Syryjska, Wrocław",brak,brak,4500,brak,55,2026-02-14
2026-02-08 02:03,Ua | Eng | Pl | Коммисия 0% | Bez Prowizji,43000,https://www.otodom.pl/pl/oferta/ua-eng-pl-0-bez-prowizji-ID4zIHq,NIE,5000,0,6,"pl. Wolności, Wrocław",brak,brak,43000,brak,267,2026-02-14
2026-02-08 02:04,Komfortowa kawalerka na wynajem! Centrum! Możliwość odliczenia 23% VAT,2337,https://www.otodom.pl/pl/oferta/komfortowa-kawalerka-na-wynajem-centrum-mozliwosc-odliczenia-23-vat-ID4zIFV,TAK,500,5,1,"ul. Stefana Żeromskiego, Wrocław",2024,miejskie,3000,brak,27,2026-02-14
2026-02-08 02:05,Stylowe Studio z balkonem - WYNAJEM NA MIESIĄCE,2400,https://www.otodom.pl/pl/oferta/stylowe-studio-z-balkonem-wynajem-na-miesiace-ID4zIvm,TAK,600,6,1,"ul. Kurkowa, Wrocław",2022,miejskie,3000,brak,23,2026-02-14
2026-02-08 02:06,Świetna lokalizacja| 2 pokoje Śródmieściu| Ochrona | Miejsce postojowe,2500,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-2-pokoje-srodmiesciu-ochrona-miejsce-postojowe-ID4zIjk,TAK,850,4,2,"ul. Antoniego Słonimskiego, Wrocław",2023,miejskie,3500,brak,37.87,2026-02-14
2026-02-08 02:08,Nowe m. przy rynku Psiego Pola,3000,https://www.otodom.pl/pl/oferta/nowe-m-przy-rynku-psiego-pola-ID4zHTV,TAK,500,3,2,"ul. Bolesława Krzywoustego, Wrocław",2025,brak,3000,brak,44.27,2026-02-14
2026-02-08 02:08,Na wynajem mieszkanie 2-pokojowe Księże,3000,https://www.otodom.pl/pl/oferta/na-wynajem-mieszkanie-2-pokojowe-ksieze-ID4nVey,TAK,1150,0,2,Wrocław,brak,brak,3000,brak,40.49,2026-02-14
2026-02-08 02:09,"Platinum Apartamenty, Stare Miasto, Garaż - Bezpośrednio",3500,https://www.otodom.pl/pl/oferta/platinum-apartamenty-stare-miasto-garaz-bezposrednio-ID4zHIs,NIE,1100,8,2,"ul. Inowrocławska, Wrocław",2008,miejskie,6000,brak,58,2026-02-14
